,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Charters Towers,-20.1,146.2667,25.55,64,62,3.85,AU,1615033280
1,Sistranda,63.7256,8.834,2.0,75,75,14.92,NO,1615033280
2,Kumul,42.8,93.45,7.54,49,36,2.24,CN,1615033280
3,Ancud,-41.8697,-73.8203,15.0,100,90,5.66,CL,1615033280
4,Ahipara,-35.1667,173.1667,17.43,87,100,3.2,NZ,1615033280
5,Moskovskiy,55.5991,37.355,-2.22,58,75,5.0,RU,1615033280
6,Bathsheba,13.2167,-59.5167,26.0,69,20,7.72,BB,1615033280
7,Tuktoyaktuk,69.4541,-133.0374,-25.62,90,8,2.8,CA,1615033281
8,Bethel,41.3712,-73.414,-3.89,67,81,2.94,US,1615033281
9,Torbay,47.6666,-52.7314,1.11,74,75,7.2,CA,1615033281
10,George Town,5.4112,100.3354,27.78,78,20,3.09,MY,1615033281
11,Darhan,49.4867,105.9228,-7.47,90,7,2.11,MN,1615033281
12,Severo-Kuril'sk,50.6789,156.125,-7.24,92,100,12.36,RU,1615033281
13,Saldanha,-33.0117,17.9442,25.0,50,63,3.09,ZA,1615033281
14,Puerto Ayora,-0.7393,-90.3518,23.33,98,8,1.34,EC,1615033281
15,Alpena,45.0617,-83.4327,-7.78,45,1,1.54,US,1615033281
16,Kapaa,22.0752,-159.319,20.0,94,75,10.8,US,1615033281
17,Port Alfred,-33.5906,26.891,23.33,79,0,4.47,ZA,1615033030
18,Maués,-3.3836,-57.7186,24.98,90,98,1.39,BR,1615033282
19,Saint George,37.1041,-113.5841,11.67,29,1,2.57,US,1615033282
20,Cabedelo,-6.9811,-34.8339,29.0,70,40,6.17,BR,1615033282
21,Los Llanos de Aridane,28.6585,-17.9182,20.0,64,20,9.26,ES,1615033282
22,Bandundu Province,-3.3167,17.3667,25.18,77,100,5.39,CD,1615033282
23,Lagunas,-5.2269,-75.6753,22.78,97,100,0.77,PE,1615033282
24,Upernavik,72.7868,-56.1549,-24.82,88,100,5.67,GL,1615033282
25,Punta Arenas,-53.15,-70.9167,11.0,82,40,6.69,CL,1615033282
26,Souillac,-20.5167,57.5167,32.0,70,75,5.14,MU,1615033282
27,Atuona,-9.8,-139.0333,26.09,76,7,6.04,PF,1615033075
28,Chui,-33.6971,-53.4616,21.64,68,84,3.64,UY,1615033282
29,Rikitea,-23.1203,-134.9692,26.61,77,49,3.9,PF,1615033283
30,New Norfolk,-42.7826,147.0587,11.11,68,100,0.68,AU,1615033283
31,Evensk,61.95,159.2333,-29.87,74,90,3.02,RU,1615033283
32,Pimenta Bueno,-11.6725,-61.1936,23.36,95,100,0.64,BR,1615033283
33,Carnarvon,-24.8667,113.6333,26.0,94,1,6.69,AU,1615033283
34,Avarua,-21.2078,-159.775,27.0,78,90,5.66,CK,1615033099
35,Guerrero Negro,27.9769,-114.0611,14.41,82,18,7.47,MX,1615033098
36,Junín,-34.5838,-60.9433,20.56,31,0,2.45,AR,1615032985
37,Boysun,38.2061,67.1986,5.96,82,100,1.64,UZ,1615033283
38,Ilulissat,69.2167,-51.1,-7.0,86,75,2.25,GL,1615033284
39,Calabozo,8.9242,-67.4293,26.26,69,88,4.97,VE,1615033284
40,Nikolskoye,59.7035,30.7861,-0.56,59,75,8.0,RU,1615033284
41,Vaini,-21.2,-175.2,26.0,94,75,3.6,TO,1615033284
42,Hilo,19.7297,-155.09,18.0,77,20,2.06,US,1615033284
43,Olafsvik,64.8945,-23.7142,5.18,83,75,4.1,IS,1615033284
44,Saskylakh,71.9167,114.0833,-30.78,85,98,3.97,RU,1615033284
45,Castro,-24.7911,-50.0119,18.68,91,89,1.38,BR,1615033285
46,Minna,9.6139,6.5569,35.0,18,97,2.57,NG,1615033285
47,Phuket,8.0,98.25,29.0,70,20,3.6,TH,1615033285
48,Wamba,8.9333,8.6,37.34,17,44,3.39,NG,1615033286
49,Hobart,-42.8794,147.3294,11.11,76,75,0.51,AU,1615033286
50,Saint Paul Harbor,57.79,-152.4072,-2.0,50,1,5.14,US,1615033286
51,Qaryat Sulūq,31.6682,20.2521,24.36,18,9,6.39,LY,1615033286
52,Port Lincoln,-34.7333,135.8667,18.32,73,100,3.8,AU,1615033286
53,Cayenne,4.9333,-52.3333,27.22,89,75,3.09,GF,1615033234
54,Barrow,71.2906,-156.7887,-24.0,70,1,5.14,US,1615033287
55,Nordfjordeid,61.9063,5.9915,6.0,65,75,8.23,NO,1615033287
56,Hasaki,35.7333,140.8333,11.11,71,75,5.14,JP,1615033287
57,Vestmannaeyjar,63.4427,-20.2734,5.0,75,40,3.09,IS,1615033287
58,Churapcha,62.0025,132.4325,-33.57,86,97,0.52,RU,1615033287
59,Arraial do Cabo,-22.9661,-42.0278,29.0,74,75,1.54,BR,1615033287
60,Tasiilaq,65.6145,-37.6368,-5.0,86,75,15.43,GL,1615033288
61,Cidreira,-30.1811,-50.2056,22.07,75,16,4.89,BR,1615033288
62,Ukiah,39.1502,-123.2078,6.0,87,90,1.09,US,1615033288
63,Ostrovnoy,68.0531,39.5131,-10.73,93,92,6.16,RU,1615033288
64,Emerald,-23.5333,148.1667,30.0,39,35,5.66,AU,1615033288
65,Port Hardy,50.6996,-127.4199,5.0,93,75,1.54,CA,1615033288
66,Rawson,-43.3002,-65.1023,24.81,49,83,4.52,AR,1615033289
67,Salto,-31.3833,-57.9667,18.17,71,0,2.54,UY,1615033091
68,Butaritari,3.0707,172.7902,26.9,78,43,5.92,KI,1615033289
69,Port Elizabeth,-33.918,25.5701,25.0,69,0,8.23,ZA,1615033289
70,Namatanai,-3.6667,152.4333,26.64,79,100,1.65,PG,1615033289
71,Ushuaia,-54.8,-68.3,10.0,87,75,4.12,AR,1615033147
72,Thompson,55.7435,-97.8558,-15.0,85,75,3.09,CA,1615033289
73,Doha,25.2867,51.5333,25.0,33,0,7.2,QA,1615033173
74,Ratnagiri,16.9833,73.3,28.8,64,6,4.89,IN,1615033290
75,Muros,42.7762,-9.0603,16.11,53,22,3.58,ES,1615033290
76,Mataura,-46.1927,168.8643,11.11,81,87,0.45,NZ,1615033290
77,Mar del Plata,-38.0023,-57.5575,18.0,68,90,1.54,AR,1615033290
78,Ciudad Bolivar,8.1222,-63.5497,26.15,72,89,5.56,VE,1615033290
79,Christchurch,-43.5333,172.6333,14.44,62,98,1.03,NZ,1615033290
80,Mastung,29.7994,66.845,21.83,22,74,11.68,PK,1615033290
81,Sørland,67.667,12.6934,-5.0,93,90,18.52,NO,1615033290
82,Vardø,70.3705,31.1107,-7.0,86,75,4.12,NO,1615033291
83,Kiama,-34.6833,150.8667,18.89,78,66,0.89,AU,1615033291
84,Saint-François,46.4154,3.9054,7.22,70,90,1.03,FR,1615033291
85,La Ronge,55.1001,-105.2842,1.0,93,100,3.6,CA,1615033291
86,Safranbolu,41.2508,32.6942,12.57,46,100,3.29,TR,1615033291
87,Young,-32.6833,-57.6333,20.56,70,0,0.45,UY,1615033291
88,Busselton,-33.65,115.3333,20.0,86,99,5.96,AU,1615033291
89,Wahpeton,46.2652,-96.6059,-1.0,86,1,3.09,US,1615033291
90,Severo-Yeniseyskiy,60.3725,93.0408,-7.68,97,100,2.86,RU,1615033292
91,Bluff,-46.6,168.3333,11.11,81,77,0.45,NZ,1615033292
92,Aripuanã,-9.1667,-60.6333,24.9,84,50,0.83,BR,1615033292
93,Yellowknife,62.456,-114.3525,-15.0,85,75,1.54,CA,1615033292
94,Kasongo,-4.45,26.6667,22.26,86,97,0.35,CD,1615033292
95,Guiratinga,-16.3494,-53.7583,21.48,92,99,0.6,BR,1615033292
96,Adré,13.4667,22.2,35.48,9,4,4.57,TD,1615033292
97,Saint-Philippe,-21.3585,55.7679,28.0,78,75,5.66,RE,1615033293
98,Odesa,46.4775,30.7326,5.0,42,40,8.0,UA,1615033078
99,Tari,12.4086,4.4914,38.37,8,63,4.76,NG,1615033293
100,Cape Town,-33.9258,18.4232,25.56,50,40,4.63,ZA,1615032623
101,Vila Velha,-20.3297,-40.2925,28.89,69,0,1.54,BR,1615033293
102,West Richland,46.3043,-119.3614,7.0,70,90,1.54,US,1615033293
103,Ust'-Ishim,57.6935,71.1665,-7.82,94,100,5.23,RU,1615033293
104,Smithers,54.7804,-127.1743,-1.0,86,75,5.14,CA,1615033293
105,Ubari,26.5921,12.7805,27.26,14,0,1.78,LY,1615033293
106,Wuwei,37.9281,102.6414,6.88,53,0,2.28,CN,1615033293
107,Tongren,27.7172,109.1853,10.5,81,94,2.71,CN,1615033294
108,Mount Isa,-20.7333,139.5,24.0,31,0,1.68,AU,1615033294
109,Havre-St-Pierre,50.2334,-63.5986,-5.0,86,90,7.2,CA,1615033294
110,Constitución,-35.3333,-72.4167,15.73,85,51,0.21,CL,1615033288
111,Alofi,-19.0595,-169.9187,24.0,94,100,1.03,NU,1615033294
112,Tuatapere,-46.1333,167.6833,11.11,81,73,0.45,NZ,1615033295
113,Khatanga,71.9667,102.5,-30.24,84,71,4.97,RU,1615033295
114,Pouembout,-21.1333,164.9,23.69,78,100,6.0,NC,1615033295
115,Klaksvík,62.2266,-6.589,8.0,76,75,6.69,FO,1615033295
116,Fereydūnkenār,36.6864,52.5225,17.0,55,0,4.12,IR,1615033295
117,Shawinigan,46.5668,-72.7491,-10.0,62,78,2.57,CA,1615033296
118,Meulaboh,4.1363,96.1285,25.44,87,99,3.21,ID,1615033296
119,Albany,42.6001,-73.9662,-8.33,47,70,5.81,US,1615033296
120,Esperance,-33.8667,121.9,18.0,100,90,3.09,AU,1615033296
121,Udachny,66.4167,112.4,-18.94,91,100,3.57,RU,1615033296
122,Qaanaaq,77.484,-69.3632,-27.02,69,0,1.8,GL,1615033296
123,Airai,-8.9266,125.4092,16.63,100,77,0.31,TL,1615033296
124,Half Moon Bay,37.4636,-122.4286,8.89,93,75,3.09,US,1615033297
125,Sisimiut,66.9395,-53.6735,-10.62,94,100,4.87,GL,1615033297
126,Margate,51.3813,1.3862,6.11,68,98,2.24,GB,1615033297
127,Mpanda,-6.3655,31.0409,26.57,73,48,0.56,TZ,1615033297
128,Kaitangata,-46.2817,169.8464,9.44,91,77,2.44,NZ,1615033297
129,Sarangani,5.4033,125.4636,28.09,75,51,8.59,PH,1615033297
130,Cockburn Town,21.4612,-71.1419,25.57,69,11,1.31,TC,1615033297
131,Soverato Marina,38.685,16.5499,16.0,67,7,4.12,IT,1615033298
132,Hermanus,-34.4187,19.2345,23.89,72,0,4.47,ZA,1615033298
133,Lexington,37.9887,-84.4777,-1.67,68,1,1.54,US,1615033172
134,Longyearbyen,78.2186,15.6401,-14.0,56,20,9.77,SJ,1615033298
135,Bredasdorp,-34.5322,20.0403,31.0,33,0,10.8,ZA,1615033298
136,Broome,42.2506,-75.833,-7.78,85,90,3.6,US,1615033298
137,Port-Gentil,-0.7193,8.7815,31.0,70,40,5.14,GA,1615033299
138,Alangāyam,12.6,78.75,32.59,18,0,3.12,IN,1615033299
139,Chebsara,59.2002,38.8356,-7.0,63,75,3.0,RU,1615033299
140,Palmer,42.1584,-72.3287,-5.0,62,20,2.06,US,1615033299
141,Iqaluit,63.7506,-68.5145,-19.0,71,90,11.83,CA,1615033299
142,Agüimes,27.9054,-15.4461,21.11,68,90,8.75,ES,1615033299
143,Harlingen,26.1906,-97.6961,13.89,71,1,3.09,US,1615033111
144,Ulaanbaatar,47.9077,106.8832,-7.0,73,0,3.0,MN,1615033200
145,Provideniya,64.3833,-173.3,-26.79,86,70,0.98,RU,1615033300
146,Lompoc,34.6391,-120.4579,8.33,93,40,2.57,US,1615033300
147,Vila Franca do Campo,37.7167,-25.4333,14.0,88,40,6.17,PT,1615033300
148,Flin Flon,54.7682,-101.865,-3.0,74,75,4.12,CA,1615033300
149,Coatesville,39.9832,-75.8238,-0.56,68,1,4.63,US,1615033300
150,Agua Verde,22.9,-106.05,16.67,94,75,1.54,MX,1615033301
151,East London,-33.0153,27.9116,25.0,65,0,10.8,ZA,1615033301
152,Jamestown,42.097,-79.2353,-6.11,96,90,2.0,US,1615033255
153,Isangel,-19.55,169.2667,27.02,79,100,12.19,VU,1615033301
154,Sioux Lookout,50.1001,-91.917,-18.0,92,1,1.54,CA,1615033301
155,Kavieng,-2.5744,150.7967,27.97,74,100,1.76,PG,1615033301
156,Brownwood,31.7093,-98.9912,4.0,100,20,3.09,US,1615033235
157,Port Hedland,-20.3167,118.5667,28.0,78,70,4.12,AU,1615033302
158,Cherskiy,68.75,161.3,-25.32,89,100,1.33,RU,1615033302
159,Tiksi,71.6872,128.8694,-30.99,86,52,1.99,RU,1615033302
160,Bayjī,34.9311,43.487,19.97,27,0,4.28,IQ,1615033302
161,Kudahuvadhoo,2.6708,72.8944,28.48,74,33,5.13,MV,1615033302
162,Holme,56.1138,10.1725,7.0,65,75,11.32,DK,1615033302
163,Soyo,-6.1349,12.3689,24.0,88,75,3.6,AO,1615033302
164,Lüderitz,-26.6481,15.1594,25.94,37,0,8.13,NA,1615033302
165,Santa Maria,-29.6842,-53.8069,20.0,88,75,2.06,BR,1615033303
166,San Patricio,28.017,-97.5169,15.0,67,75,6.17,US,1615033303
167,Yulara,-25.2406,130.9889,27.0,47,40,9.77,AU,1615033303
168,Lubango,-14.9172,13.4925,25.59,35,66,3.01,AO,1615033303
169,Babu,24.4167,111.5167,17.34,76,27,3.78,CN,1615033304
170,Richards Bay,-28.783,32.0377,25.06,69,82,4.22,ZA,1615033304
171,Cabo San Lucas,22.8909,-109.9124,15.56,57,28,0.45,MX,1615033304
172,Lebu,-37.6167,-73.65,13.07,86,2,2.25,CL,1615033304
173,Terra Santa,-2.1042,-56.4869,24.58,92,100,0.91,BR,1615033304
174,Marawi,7.9986,124.2928,26.11,84,85,3.13,PH,1615033304
175,Nelson Bay,-32.7167,152.15,18.0,82,40,3.6,AU,1615033305
176,Pevek,69.7008,170.3133,-24.8,90,100,3.68,RU,1615033305
177,Litovko,49.2361,135.1742,-16.29,86,1,6.68,RU,1615033305
178,Djibouti,11.5,42.5,29.0,54,1,1.54,DJ,1615033305
179,Carutapera,-1.195,-46.02,26.99,88,100,2.79,BR,1615033305
180,Barra de Tecoanapa,16.5167,-98.75,21.0,78,0,1.85,MX,1615033305
181,Chulumani,-16.4096,-67.5263,16.93,79,100,0.08,BO,1615033305
182,Shumskiy,54.8318,99.1328,-3.63,94,100,0.82,RU,1615033276
183,Candolim,15.5181,73.7626,30.0,66,20,5.66,IN,1615033306
184,Bowen,-20.0167,148.2333,24.0,88,89,1.54,AU,1615033306
185,Mossamedes,-15.1961,12.1522,29.0,58,20,7.72,AO,1615033306
186,Dikson,73.5069,80.5464,-32.78,87,89,5.14,RU,1615033306
187,São Gabriel da Cachoeira,-0.1303,-67.0892,23.32,94,70,1.07,BR,1615033306
188,Houma,29.5958,-90.7195,11.11,82,1,5.14,US,1615033306
189,Sechura,-5.5569,-80.8222,25.12,67,100,3.05,PE,1615033307
190,Pisco,-13.7,-76.2167,22.0,83,83,1.03,PE,1615033307
191,Aklavik,68.2191,-135.0107,-23.0,84,0,2.9,CA,1615033307
192,Vienna,48.2085,16.3721,6.11,38,20,3.09,AT,1615033298
193,Nouadhibou,20.931,-17.0347,23.0,56,0,10.8,MR,1615033307
194,Faanui,-16.4833,-151.75,28.09,72,73,3.22,PF,1615033307
195,Balkanabat,39.5108,54.3671,11.63,56,82,1.9,TM,1615033307
196,San Cristobal,7.7669,-72.225,23.0,100,75,1.03,VE,1615033308
197,Ballina,-28.8667,153.5667,21.0,83,90,0.51,AU,1615033308
198,Fort Nelson,58.8053,-122.7002,-12.0,85,75,1.03,CA,1615033308
199,São Filipe,14.8961,-24.4956,22.47,70,47,4.24,CV,1615033308
200,Verkhnyaya Inta,65.9811,60.3094,-17.86,91,100,3.69,RU,1615033308
201,Sur,22.5667,59.5289,31.91,29,0,2.51,OM,1615033309
202,Comodoro Rivadavia,-45.8667,-67.5,22.0,35,0,4.63,AR,1615033309
203,Yumen,40.2833,97.2,7.55,46,100,3.18,CN,1615033309
204,Lavrentiya,65.5833,-171.0,-28.14,81,21,1.28,RU,1615033309
205,Tieli,46.95,128.05,-16.91,93,85,2.93,CN,1615033309
206,Wailuku,20.8911,-156.5047,21.0,73,1,1.54,US,1615033118
207,Mujiayingzi,42.1167,118.7833,-5.74,62,0,0.89,CN,1615033309
208,Ucluelet,48.9329,-125.5528,6.11,91,84,5.43,CA,1615033309
209,Ribeira Grande,38.5167,-28.7,17.0,94,75,6.69,PT,1615033309
210,Ambanja,-13.6833,48.45,27.0,82,75,1.82,MG,1615033310
211,Praia da Vitória,38.7333,-27.0667,18.0,68,20,4.66,PT,1615033310
212,Nagato,34.3833,131.2,10.0,66,75,5.66,JP,1615033310
213,Syracuse,37.0881,15.2792,18.0,67,0,5.66,IT,1615033310
214,Mahébourg,-20.4081,57.7,32.0,70,75,5.14,MU,1615033310
215,Batemans Bay,-35.7167,150.1833,17.78,75,85,1.63,AU,1615033310
216,Rocha,-34.4833,-54.3333,20.24,79,95,3.96,UY,1615033311
217,Meadow Lake,34.8014,-106.5436,3.0,65,1,3.6,US,1615033311
218,Clyde River,70.4692,-68.5914,-29.0,69,90,6.69,CA,1615033311
219,Eyl,7.9803,49.8164,27.93,54,7,9.83,SO,1615033311
220,Jalu,29.0331,21.5482,28.82,13,0,4.48,LY,1615033311
221,Kruisfontein,-34.0033,24.7314,28.81,43,0,5.74,ZA,1615033311
222,Sitka,57.0531,-135.33,3.0,81,75,5.14,US,1615033311
223,Piedras Negras,28.7,-100.5167,11.67,67,0,0.89,MX,1615033031
224,Broken Hill,-31.95,141.4333,22.0,20,74,2.57,AU,1615033311
225,Ishigaki,24.3448,124.1572,21.0,94,75,1.54,JP,1615033311
226,Hamilton,39.1834,-84.5333,-1.67,69,1,1.79,US,1615033129
227,Kobryn,52.2138,24.3564,1.0,60,75,6.0,BY,1615033312
228,Saint-Augustin,51.226,-58.6502,-8.12,97,94,0.71,CA,1615033312
229,Torit,4.4133,32.5678,37.86,21,96,3.06,SS,1615033042
230,Mayo,38.8876,-76.5119,1.0,47,1,3.6,US,1615033312
231,Naze,28.3667,129.4833,16.45,79,98,1.92,JP,1615033312
232,Naters,46.3254,7.9891,8.33,69,26,2.24,CH,1615033312
233,Baden-Baden,48.75,8.25,7.0,49,0,7.72,DE,1615033273
234,Lufilufi,-13.8745,-171.5986,25.0,100,20,2.06,WS,1615033312
235,Joshīmath,30.5667,79.5667,15.03,27,9,2.56,IN,1615033312
236,Zaria,11.1113,7.7227,36.59,9,86,4.69,NG,1615033312
237,Nanortalik,60.1432,-45.2371,1.33,87,100,5.47,GL,1615033312
238,Arrondissement de Gap,44.6667,6.0,12.22,56,29,0.89,FR,1615033313
239,Waingapu,-9.6567,120.2641,26.4,80,48,3.02,ID,1615033313
240,Thessalon,46.2501,-83.5666,-13.0,47,1,3.99,CA,1615033313
241,Torbat-e Jām,35.244,60.6225,5.93,79,100,1.58,IR,1615033313
242,Te Anau,-45.4167,167.7167,6.89,86,66,0.22,NZ,1615033313
243,Colares,38.7992,-9.4469,19.0,48,0,3.09,PT,1615033313
244,Hong Kong,22.2855,114.1577,22.22,92,64,3.36,HK,1615033209
245,Kachīry,53.0675,76.1036,-0.46,98,100,7.28,KZ,1615033313
246,Monterey,36.2505,-121.2516,10.0,1,45,4.92,US,1615033314
247,Bengkulu,-3.8004,102.2655,25.64,86,99,0.25,ID,1615033314
248,Barabinsk,55.3571,78.357,-2.87,94,100,8.54,RU,1615033314
249,Bud,39.447,-86.1758,-3.89,80,40,1.38,US,1615033314
250,Redmond,47.674,-122.1215,6.67,89,100,2.57,US,1615033171
251,Geraldton,-28.7667,114.6,23.0,78,44,6.69,AU,1615033314
252,Piteå,65.3172,21.4794,2.0,69,90,8.75,SE,1615033314
253,Kununurra,-15.7667,128.7333,29.0,89,90,3.6,AU,1615033315
254,Russellville,35.2784,-93.1338,-2.0,93,1,1.21,US,1615033315
255,Beaverlodge,55.2166,-119.4361,-1.0,86,40,1.54,CA,1615033315
256,Garoowe,8.4054,48.4845,34.3,11,37,5.39,SO,1615033315
257,Gigmoto,13.7796,124.39,24.91,82,97,4.14,PH,1615033315
258,Tigil',57.8,158.6667,-30.42,87,31,1.98,RU,1615033315
259,Vavozh,56.7751,51.931,-9.82,93,89,4.42,RU,1615033315
260,Mazamet,43.49,2.373,12.78,66,90,1.54,FR,1615033315
261,Ginir,7.1333,40.7,27.92,18,8,5.93,ET,1615033028
262,Presidente Médici,-11.1753,-61.9014,23.5,95,99,1.04,BR,1615033316
263,Esfarāyen,37.0765,57.5101,4.0,70,75,3.09,IR,1615033316
264,Labuhan,-6.8844,112.2051,26.66,82,98,2.23,ID,1615033316
265,San Quintín,30.4833,-115.95,6.11,1,9,1.79,MX,1615033316
266,Hwange,-18.3693,26.5019,29.34,41,0,2.45,ZW,1615033316
267,Farafenni,13.5667,-15.6,36.22,10,11,2.11,GM,1615033316
268,Touros,-5.1989,-35.4608,29.0,70,75,5.66,BR,1615033316
269,Aginskoye,51.1,114.53,-14.13,92,25,1.22,RU,1615033316
270,Solnechnyy,50.7214,136.6319,-20.77,85,30,1.42,RU,1615033316
271,Trelew,-43.249,-65.3051,26.6,42,85,5.33,AR,1615033316
272,Camacha,33.0833,-16.3333,18.0,68,40,10.29,PT,1615033317
273,Sept-Îles,50.2001,-66.3821,-5.56,68,90,3.09,CA,1615033317
274,Antequera,37.0194,-4.5612,16.0,77,90,2.57,ES,1615033317
275,Kaspiysk,42.8816,47.6392,10.56,71,1,8.0,RU,1615033317
276,Verkhniy Lomov,53.4678,43.5511,-4.84,93,100,0.72,RU,1615033317
277,Chicama,-7.8447,-79.1469,22.0,88,60,2.57,PE,1615033317
278,Coquimbo,-29.9533,-71.3436,16.0,88,75,2.57,CL,1615033317
279,Belaya Gora,68.5333,146.4167,-25.58,88,100,7.36,RU,1615033317
280,Quelimane,-17.8786,36.8883,31.0,70,75,4.12,MZ,1615033318
281,São José da Coroa Grande,-8.8978,-35.1478,28.27,69,17,2.24,BR,1615033318
282,Wajima,37.4,136.9,2.33,81,92,7.06,JP,1615033318
283,Mtwara,-10.2667,40.1833,30.0,70,40,7.72,TZ,1615033318
