,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
284,Afrikanda,67.4429,32.7828,-7.22,96,100,4.51,RU,1615033318
285,Güira de Melena,22.7906,-82.5053,11.0,100,20,1.03,CU,1615033318
286,Mubi,10.2676,13.2644,38.33,8,9,5.38,NG,1615033318
287,Ponta Delgada,37.7333,-25.6667,14.0,88,40,6.17,PT,1615033214
288,Puerto Escondido,15.85,-97.0667,23.28,69,0,1.51,MX,1615033319
289,Morgan City,29.6994,-91.2068,11.0,82,1,4.63,US,1615033319
290,Dhidhdhoo,6.8833,73.1,28.62,61,0,3.28,MV,1615033319
291,Antropovo,58.3988,43.0066,-9.8,94,97,2.73,RU,1615033319
292,Tazmalt,36.3868,4.3989,19.51,43,14,3.36,DZ,1615033319
293,Hambantota,6.1241,81.1185,24.0,100,90,5.14,LK,1615033319
294,Vestmanna,62.1564,-7.1664,8.0,76,75,6.69,FO,1615033319
295,Zuwārah,32.9312,12.082,17.61,63,0,4.72,LY,1615033319
296,Peniche,39.3558,-9.3811,19.44,61,0,4.02,PT,1615033197
297,Lázaro Cárdenas,17.9583,-102.2,20.32,82,0,2.63,MX,1615033319
298,Sola,-13.8833,167.55,26.0,94,90,8.32,VU,1615033319
299,Malanje,-9.5402,16.341,28.75,59,50,1.19,AO,1615033319
300,Prince Rupert,54.3161,-130.3201,5.0,93,90,2.57,CA,1615033320
301,Yar-Sale,66.8333,70.8333,-18.53,92,100,2.88,RU,1615033320
302,Starobaltachevo,56.0013,55.9213,-8.29,95,100,4.02,RU,1615033320
303,Talnakh,69.4865,88.3972,-21.4,84,81,0.65,RU,1615033320
304,Tomatlán,19.9333,-105.25,16.71,80,0,1.36,MX,1615033320
305,Progreso,21.2833,-89.6667,21.67,94,75,0.33,MX,1615033320
306,Singaraja,-8.112,115.0882,26.88,74,20,1.22,ID,1615033238
307,Sampit,-2.5333,112.95,25.76,86,48,1.89,ID,1615033320
308,Laguna,38.421,-121.4238,8.33,87,1,5.66,US,1615033320
309,Hithadhoo,-0.6,73.0833,29.1,62,2,1.19,MV,1615033320
310,Pemangkat,1.1667,108.9667,26.64,86,100,4.85,ID,1615033321
311,Eureka,40.8021,-124.1637,5.0,98,79,2.52,US,1615033035
312,Kiruna,67.8557,20.2251,-6.0,73,90,8.23,SE,1615033321
313,Bambous Virieux,-20.3428,57.7575,32.0,70,75,5.14,MU,1615033321
314,Olinda,-8.0089,-34.8553,28.0,65,20,4.12,BR,1615033321
315,Pandan,14.0453,124.1694,25.31,81,47,4.55,PH,1615033321
316,Pavlivka,49.4414,28.4596,-1.0,64,0,6.0,UA,1615033322
317,Abalak,58.1286,68.5944,-7.99,95,100,5.35,RU,1615033322
318,Kysyl-Syr,63.8986,122.7617,-21.21,89,99,2.78,RU,1615033322
319,Huron,41.1501,-82.5499,-3.33,77,50,0.45,US,1615033322
320,Punalūr,9.0,76.9333,31.0,66,20,2.57,IN,1615033322
321,Crailsheim,49.1344,10.0719,5.56,52,0,4.63,DE,1615033322
322,Yangi Marg`ilon,40.4272,71.7189,12.0,43,100,3.09,UZ,1615033098
323,Ponta do Sol,32.6667,-17.1,18.0,63,75,8.23,PT,1615033323
324,Honiara,-9.4333,159.95,25.42,84,100,1.54,SB,1615033323
325,Tabou,4.423,-7.3528,27.76,80,99,2.59,CI,1615033323
326,Chokurdakh,70.6333,147.9167,-22.4,90,100,9.19,RU,1615033323
327,Razdol'noye,43.55,131.9167,-12.0,52,0,2.0,RU,1615033323
328,Port Hawkesbury,45.6169,-61.3485,-6.11,67,90,3.6,CA,1615033323
329,Vostok,46.4856,135.8833,-22.1,91,100,2.3,RU,1615033323
330,Tete,-16.1564,33.5867,28.0,69,75,5.66,MZ,1615033324
331,Ola,59.5833,151.2833,-25.07,76,99,3.56,RU,1615033324
332,Vadinsk,53.6916,43.0574,-5.46,94,77,1.01,RU,1615033324
333,Norman Wells,65.282,-126.8329,-26.0,84,75,1.54,CA,1615033324
334,Quixadá,-4.9714,-39.0153,28.49,64,64,4.09,BR,1615033324
335,Spring Valley,36.108,-115.245,12.22,24,20,2.06,US,1615033051
336,Marzuq,14.4,46.4667,30.41,13,0,5.24,YE,1615033325
337,Kpandae,8.4689,-0.0113,36.58,30,100,2.19,GH,1615033325
338,Port Macquarie,-31.4333,152.9167,20.0,80,92,2.58,AU,1615033325
339,Msanga,-6.05,36.0333,28.0,57,75,4.12,TZ,1615033325
340,Dagua,3.6569,-76.6886,20.0,100,75,1.03,CO,1615033325
341,Sabha,27.0377,14.4283,28.52,13,0,3.87,LY,1615033326
342,Grindavik,63.8424,-22.4338,6.0,75,40,2.57,IS,1615033326
343,Todos Santos,23.45,-110.2167,15.56,53,31,3.56,MX,1615033326
344,Omboué,-1.5746,9.2618,30.07,67,76,4.59,GA,1615033326
345,Katsuura,35.1333,140.3,13.33,73,100,11.76,JP,1615033037
346,Tamandaré,-8.7597,-35.1047,28.49,67,25,2.57,BR,1615033326
347,Fairbanks,64.8378,-147.7164,-17.78,84,1,1.01,US,1615033232
348,Taoudenni,22.6783,-3.9836,32.19,11,0,3.87,ML,1615033326
349,Itaituba,-4.2761,-55.9836,25.0,100,90,1.21,BR,1615033327
350,Āmol,36.4696,52.3507,15.89,44,4,3.06,IR,1615033327
351,Huilong,31.8111,121.655,8.33,93,100,6.64,CN,1615033327
352,Shubarkuduk,49.1447,56.4872,0.85,99,100,3.79,KZ,1615033327
353,Ilanskiy,56.2358,96.065,-3.19,94,100,4.09,RU,1615033327
354,Los Algarrobos,8.5,-82.4333,20.0,94,0,1.03,PA,1615033327
355,Port Keats,-14.25,129.55,28.47,88,35,5.74,AU,1615033327
356,Dingle,10.9995,122.6711,24.64,81,71,3.46,PH,1615033328
357,Pimentel,-6.8367,-79.9342,23.0,78,0,1.03,PE,1615033328
358,Gizo Government Station,-8.103,156.8419,27.19,77,100,4.41,SB,1615033328
359,Zhicheng,30.2956,111.5047,8.33,82,100,3.57,CN,1615033328
360,Warwick,41.7001,-71.4162,-3.33,46,20,2.57,US,1615033257
361,Amahai,-3.3333,128.9167,26.11,79,100,2.39,ID,1615033328
362,Kaeo,-35.1,173.7833,16.67,91,100,0.89,NZ,1615033328
363,Chapais,49.7834,-74.8492,-15.0,78,90,5.66,CA,1615033329
364,Aktyubinskiy,54.8137,52.8056,-8.45,96,99,4.57,RU,1615033329
365,Keffi,8.8486,7.8736,35.0,46,32,3.09,NG,1615033329
366,Russell,32.3502,-85.1999,10.0,43,90,1.97,US,1615033329
367,Lethem,3.3803,-59.7968,26.66,66,95,6.21,GY,1615033329
368,Goderich,43.7501,-81.7165,-3.0,63,100,7.2,CA,1615033329
369,Berlevåg,70.8578,29.0864,-4.03,94,100,6.58,NO,1615033330
370,Departamento de Maldonado,-34.6667,-54.9167,21.11,73,75,3.09,UY,1615033330
371,Boa Vista,2.8197,-60.6733,26.0,73,40,3.6,BR,1615033330
372,Fare,-16.7,-151.0167,27.96,71,31,3.19,PF,1615033330
373,Guiyang,26.5833,106.7167,10.0,81,75,3.0,CN,1615033330
374,Arkhara,49.4212,130.0842,-19.9,89,2,2.08,RU,1615033330
375,Degtyarsk,56.704,60.0879,-7.0,68,75,10.0,RU,1615033331
376,Gravdal,68.1214,13.5031,-5.0,58,75,6.17,NO,1615033331
377,Salalah,17.0151,54.0924,29.0,51,0,2.57,OM,1615033331
378,Abbeville,50.1,1.8333,7.78,50,0,5.4,FR,1615033331
379,Kloulklubed,7.0419,134.2556,26.0,83,75,2.57,PW,1615033331
380,Tiarei,-17.5333,-149.3333,26.0,78,75,2.06,PF,1615033331
381,Susa,32.1942,48.2436,22.76,30,0,4.94,IR,1615033331
382,Koslan,63.4564,48.8989,-16.4,90,99,2.28,RU,1615033331
383,Aykhal,66.0,111.5,-19.79,90,100,3.16,RU,1615033331
384,Rørvik,64.8621,11.2373,-0.62,90,100,19.54,NO,1615033331
385,Lampari,6.3125,124.8803,23.76,78,72,1.29,PH,1615033332
386,Aksu,41.1231,80.2644,11.18,41,84,2.83,CN,1615033332
387,Bahía Blanca,-38.7196,-62.2724,20.86,38,0,3.65,AR,1615033332
388,Mumbai,19.0144,72.8479,30.0,66,0,5.14,IN,1615033233
389,San Buenaventura,27.0833,-101.5333,12.13,61,5,3.61,MX,1615033332
390,Murgab,37.4966,61.9714,8.0,66,75,5.14,TM,1615033332
391,Bellevue,47.6104,-122.2007,6.67,75,1,4.12,US,1615033332
392,Bereket,39.2446,55.5154,9.16,76,99,0.69,TM,1615033332
393,Hay River,60.8156,-115.7999,-10.0,85,100,1.03,CA,1615033138
394,Tapes,-30.6733,-51.3958,19.83,78,11,4.32,BR,1615033333
395,Chunskiy,56.0815,99.6342,-3.53,98,100,2.47,RU,1615033333
396,Mount Gambier,-37.8333,140.7667,12.0,82,85,4.12,AU,1615033333
397,Puerto Nariño,-3.7703,-70.3831,24.0,100,90,1.54,CO,1615033333
398,Makassar,-5.14,119.4221,27.0,78,20,1.03,ID,1615033328
399,Nemuro,43.3236,145.575,-7.99,87,75,4.25,JP,1615033333
400,Caibarién,22.5206,-79.4669,18.0,94,75,0.51,CU,1615033333
401,Aracati,-4.5617,-37.7697,29.11,67,98,4.94,BR,1615033334
402,Pachino,36.7186,15.0907,18.0,59,0,4.63,IT,1615033334
403,Arlit,18.7369,7.3853,35.35,9,9,2.67,NE,1615033334
404,Faya,18.3851,42.4509,27.0,9,0,4.12,SA,1615033334
405,Sittwe,20.15,92.9,24.98,72,44,3.86,MM,1615033334
406,San Vicente,-26.6167,-54.1333,20.27,88,23,1.37,AR,1615033334
407,Campbell River,50.0163,-125.2446,3.89,93,100,3.26,CA,1615033244
408,Yārāda,17.65,83.2667,30.0,58,0,3.09,IN,1615033334
409,Gimli,50.6336,-96.9907,-8.0,79,36,3.6,CA,1615033334
410,Mnogovershinnyy,53.9353,139.9242,-25.77,89,57,2.64,RU,1615033335
411,Waitati,-45.75,170.5667,12.22,77,83,4.02,NZ,1615033335
412,Ambon City,-3.6954,128.1814,25.0,83,20,3.6,ID,1615033335
413,Mehamn,71.0357,27.8492,-4.56,95,100,6.6,NO,1615033335
414,Jumla,29.2747,82.1838,11.95,38,0,2.53,NP,1615033335
415,Necochea,-38.5473,-58.7368,15.56,79,13,3.58,AR,1615033335
416,Tolaga Bay,-38.3667,178.3,16.11,79,98,0.8,NZ,1615033335
417,Ixtapa,20.7,-105.2,17.22,100,1,1.01,MX,1615033336
418,Omsukchan,62.5333,155.8,-30.93,83,100,2.15,RU,1615033336
419,Agirish,61.9247,63.0231,-10.85,95,100,3.16,RU,1615033336
420,Cayon,17.35,-62.7333,27.0,65,20,5.66,KN,1615033336
421,Senneterre,48.3835,-77.2328,-15.0,85,75,4.12,CA,1615033336
422,Acapulco de Juárez,16.8634,-99.8901,21.66,75,0,2.0,MX,1615033209
423,Bodden Town,19.2833,-81.25,23.89,94,20,1.14,KY,1615033336
424,Kiryat Gat,31.61,34.7642,20.56,47,0,2.24,IL,1615033337
425,Shache,38.4167,77.2406,14.54,33,18,4.23,CN,1615033215
426,Quang Ngai,15.1167,108.8,23.48,88,0,3.15,VN,1615033337
427,Dawei,14.0833,98.2,26.3,62,0,2.2,MM,1615033337
428,Punganūru,13.3667,78.5833,31.53,16,0,3.01,IN,1615033083
429,Requena,39.4883,-1.1004,15.56,68,61,5.49,ES,1615033337
430,Oktyabr'skoye,43.0645,44.7417,19.0,15,0,6.0,RU,1615033337
431,Vanimo,-2.6741,141.3028,26.21,83,71,4.23,PG,1615033338
432,Quatre Cocos,-20.2078,57.7625,32.0,70,75,5.14,MU,1615033338
433,Porto Santo,33.072,-16.3415,18.0,68,40,10.29,PT,1615033226
434,Sawtell,-30.3833,153.1,19.0,94,75,2.57,AU,1615033338
435,Mahon,39.8885,4.2658,15.0,67,20,2.57,ES,1615033338
436,Akdepe,42.0551,59.3788,11.0,35,0,5.14,TM,1615033338
437,Bismarck,46.8083,-100.7837,-1.11,93,75,3.6,US,1615033338
438,Xai-Xai,-25.0519,33.6442,27.99,69,5,5.82,MZ,1615033338
439,Tsumeb,-19.2333,17.7167,30.0,35,40,4.12,NA,1615033338
440,Tainan City,22.9908,120.2133,22.0,68,40,3.09,TW,1615033338
441,Karratha,-20.7377,116.8463,28.42,64,48,4.93,AU,1615033339
442,Illapel,-31.6308,-71.1653,18.49,72,22,0.45,CL,1615033339
443,Hualmay,-11.0964,-77.6139,23.18,71,100,2.66,PE,1615033339
444,Lima,-12.0432,-77.0282,23.33,94,75,3.6,PE,1615033124
445,Oskemen,49.9565,82.6119,-1.0,64,52,4.0,KZ,1615033339
446,Angoche,-16.2325,39.9086,27.98,84,41,4.86,MZ,1615033097
447,Areia Branca,-4.9561,-37.1369,29.34,63,100,6.12,BR,1615033145
448,Pacific Grove,36.6177,-121.9166,11.0,82,90,2.57,US,1615033340
449,Gushikawa,26.3544,127.8686,18.0,88,1,6.17,JP,1615033340
450,Dunedin,-45.8742,170.5036,12.22,81,69,2.69,NZ,1615033340
451,Nampula,-15.1165,39.2666,29.0,70,75,3.09,MZ,1615033340
452,Kamaishi,39.2667,141.8833,0.47,87,39,3.06,JP,1615033340
453,Nizhniy Kuranakh,58.8353,125.4869,-21.82,83,16,1.9,RU,1615033340
454,Kutum,14.2,24.6667,30.61,12,0,3.47,SD,1615033341
455,San Policarpo,12.1791,125.5072,26.19,81,100,6.05,PH,1615033341
456,Makakilo City,21.3469,-158.0858,21.0,82,1,2.57,US,1615033341
457,Belyy,55.8402,32.9419,-3.46,87,93,4.06,RU,1615033341
458,Teya,60.3778,92.6267,-5.64,95,100,2.67,RU,1615033341
459,Kavaratti,10.5669,72.642,28.43,63,43,4.11,IN,1615033341
460,General Roca,-39.0333,-67.5833,19.0,82,0,1.54,AR,1615033341
461,Agapovka,53.2973,59.1348,-6.0,53,75,3.0,RU,1615033342
462,Hofn,64.2539,-15.2082,4.6,70,100,2.97,IS,1615033342
463,Ardmore,34.1743,-97.1436,5.0,93,1,2.57,US,1615033342
464,Skellefteå,64.7507,20.9528,1.0,86,90,11.32,SE,1615033342
465,Córdoba,-31.4135,-64.1811,25.0,88,0,4.12,AR,1615033342
466,Le Port,-20.9373,55.2919,27.0,74,75,2.57,RE,1615033342
467,Puerto Colombia,10.9878,-74.9547,25.0,88,20,2.57,CO,1615033342
468,Nishihara,26.1842,127.7558,19.0,77,90,6.17,JP,1615033342
469,Yanacancha,-10.2411,-76.6456,4.52,81,97,0.31,PE,1615033342
470,Arrondissement de Saint-Denis,48.9167,2.3333,7.22,45,0,6.69,FR,1615033342
471,Staryy Saltiv,50.0827,36.7939,1.0,37,75,7.0,UA,1615033343
472,Newport,51.5877,-2.9984,6.67,60,0,0.45,GB,1615033343
473,Abū Zabad,12.35,29.25,37.08,9,0,7.73,SD,1615033343
474,Kralendijk,12.15,-68.2667,27.0,74,90,9.26,BQ,1615033343
475,Kamenka,51.3223,42.7678,-1.11,77,100,2.56,RU,1615033343
476,Roald,62.5833,6.1333,5.0,81,75,8.23,NO,1615033343
477,Baft,29.234,56.6057,16.45,24,0,6.93,IR,1615033344
478,Jasper,37.2001,-94.3502,-2.0,93,1,2.3,US,1615033344
479,Havøysund,70.9963,24.6622,-2.0,69,75,2.57,NO,1615033344
480,Port Blair,11.6667,92.75,27.42,74,0,3.48,IN,1615033344
481,Eenhana,-17.4667,16.3333,31.87,26,9,4.88,NA,1615033344
482,Ust-Maya,60.4167,134.5333,-33.32,85,91,0.44,RU,1615033344
483,Northam,51.0333,-4.2167,8.33,63,2,3.13,GB,1615033344
484,Chulym,55.0997,80.9572,-1.0,96,100,10.72,RU,1615033345
485,Mbigou,-1.9005,11.906,23.5,82,100,2.18,GA,1615033345
486,Dwārka,22.2394,68.9678,27.27,59,0,5.58,IN,1615033345
487,Surin,14.8818,103.4936,31.11,57,5,0.98,TH,1615033345
488,Poum,-20.2333,164.0167,26.71,71,100,9.25,NC,1615033345
489,Portland,45.5234,-122.6762,5.56,88,100,0.89,US,1615033232
490,Leningradskiy,69.3833,178.4167,-22.66,88,100,1.63,RU,1615033345
491,Tuxpan,19.55,-103.4,14.34,71,0,1.35,MX,1615033346
492,Kirgiz-Miyaki,53.6324,54.7979,-6.87,96,79,4.21,RU,1615033346
493,Kilindoni,-7.9139,39.6668,28.31,71,99,5.61,TZ,1615033346
494,Alice Springs,-23.7,133.8833,30.56,15,2,2.57,AU,1615033137
495,Bucerías,20.75,-105.3333,17.22,100,1,1.5,MX,1615033300
496,Kingsland,30.8,-81.6898,14.44,84,100,3.23,US,1615033346
497,Pangai,-19.8,-174.35,27.0,94,40,4.57,TO,1615033346
498,Husavik,66.0449,-17.3389,2.0,87,75,2.06,IS,1615033347
499,Belyy Yar,53.6039,91.3903,3.0,30,0,4.0,RU,1615033347
500,Ust-Nera,64.5667,143.2,-31.77,75,100,2.49,RU,1615033347
501,Cape Canaveral,28.4058,-80.6048,18.0,77,75,2.06,US,1615033348
502,Aasiaat,68.7098,-52.8699,-12.34,95,100,3.03,GL,1615033348
503,Bereda,43.2686,-7.5406,13.89,67,97,6.26,ES,1615033349
504,Lichinga,-13.3128,35.2406,20.29,97,99,0.98,MZ,1615033349
505,Gamba,-2.65,10.0,25.41,82,100,6.21,GA,1615033350
506,Taitung City,22.7583,121.1444,24.0,88,75,3.6,TW,1615033350
507,Amapá,1.0,-52.0,23.97,93,100,0.86,BR,1615033351
508,Laela,-8.5667,32.05,22.69,83,86,2.41,TZ,1615033351
509,State College,40.7934,-77.86,-2.78,59,75,4.12,US,1615033353
510,Bilma,18.6853,12.9164,32.95,9,34,4.79,NE,1615033353
511,Koumac,-20.5667,164.2833,25.19,74,100,7.48,NC,1615033354
512,Santa Isabel Rio Negro,-0.4139,-65.0192,23.89,94,95,0.64,BR,1615033354
513,Marabu,4.4148,114.0089,27.78,89,20,2.06,MY,1615033354
514,Ayan,56.45,138.1667,-21.68,79,23,4.93,RU,1615033354
515,Maïné Soroa,13.2114,12.0241,35.68,9,85,6.67,NE,1615033354
516,Atar,20.5169,-13.0499,27.21,25,1,8.83,MR,1615033354
517,Andros Town,24.7,-77.7667,18.0,82,20,0.51,BS,1615033354
518,Mergen,49.1833,125.2167,-13.96,88,66,4.19,CN,1615033355
519,Hirado,33.3597,129.5531,11.11,71,75,9.26,JP,1615033355
520,Saint-Pierre,-21.3393,55.4781,28.0,78,75,5.66,RE,1615033355
521,Henties Bay,-22.116,14.2845,23.33,78,8,3.13,NA,1615033356
522,Cessnock,-32.8333,151.35,15.56,94,12,1.24,AU,1615033356
523,Riyadh,24.6877,46.7219,25.0,15,0,3.6,SA,1615033356
524,Tonantins,-2.8731,-67.8022,23.69,92,38,1.52,BR,1615033356
525,Gijang,35.2442,129.2139,6.0,65,90,7.2,KR,1615033357
526,Imeni Poliny Osipenko,52.4201,136.4853,-22.88,87,0,1.34,RU,1615033357
527,Hatillo,18.4863,-66.8254,23.89,88,75,2.84,PR,1615033096
528,Tooele,40.5308,-112.2983,7.0,45,1,7.72,US,1615033357
529,Raja,8.4596,25.678,37.77,8,65,3.73,SS,1615033357
530,Urucará,-2.5364,-57.76,24.99,94,100,1.21,BR,1615033358
531,Mapiripán,2.8892,-72.1256,23.64,91,76,0.34,CO,1615033358
532,Panama City,8.9936,-79.5197,23.89,83,40,1.54,PA,1615033358
533,Anloga,5.7947,0.8973,34.0,62,20,6.17,GH,1615033358
534,Acaraú,-2.8856,-40.12,27.71,78,91,5.81,BR,1615033358
535,Liverpool,53.4106,-2.9779,7.22,52,90,1.54,GB,1615033358
536,Ouango,4.3133,22.5552,40.84,9,77,2.19,CF,1615033359
537,Bertoua,4.5833,13.6833,38.39,13,59,2.66,CM,1615033359
538,Kahului,20.8947,-156.47,21.0,73,1,1.54,US,1615033359
539,Codrington,-38.2667,141.9667,12.24,91,87,3.64,AU,1615033359
540,Maromitsa,59.8683,48.0123,-13.18,93,100,3.07,RU,1615033215
541,Tynda,55.1667,124.7167,-24.95,84,74,0.55,RU,1615033360
542,Kesova Gora,57.5836,37.2922,-7.03,94,94,3.22,RU,1615033360
543,Uyemskiy,64.4743,40.8524,-7.0,63,0,2.0,RU,1615033360
544,Birjand,32.8663,59.2211,14.0,21,0,5.14,IR,1615033360
545,Itoman,26.1247,127.6694,19.0,88,75,4.12,JP,1615033361
546,Kosonsoy,41.2561,71.5508,12.0,37,100,4.12,UZ,1615033361
547,Troy,42.6056,-83.1499,-3.89,63,1,3.09,US,1615033282
548,Goryachegorsk,55.4053,88.9154,-5.19,91,100,6.3,RU,1615033362
549,Pirovskoye,57.6267,92.2658,-3.05,95,100,5.61,RU,1615033276
550,Tilichiki,60.4667,166.1,-33.57,85,1,2.52,RU,1615033362
551,Beihai,21.4833,109.1,24.29,76,35,3.11,CN,1615033362
552,Nioro,13.35,-15.75,36.88,10,5,1.61,GM,1615033362
553,Ust-Tsilma,65.441,52.1498,-19.72,90,100,1.98,RU,1615033362
554,Jiuquan,39.7432,98.5174,7.13,49,88,2.82,CN,1615033362
555,Ilave,-16.0833,-69.6667,6.84,81,100,1.23,PE,1615033363
556,Ende,-8.8432,121.6623,26.21,78,64,1.38,ID,1615033363
557,Agia Marina,37.75,23.5333,19.44,58,33,2.24,GR,1615033363
558,Pakxan,18.3778,103.6601,30.48,30,11,1.84,LA,1615033363
559,Japura,-0.3167,102.35,24.28,94,96,1.1,ID,1615033363
560,Tessalit,20.1986,1.0114,35.8,9,17,7.26,ML,1615033363
561,Atambua,-9.1061,124.8925,23.96,85,65,0.16,ID,1615033261
562,Taber,49.8167,-112.1518,3.0,75,100,5.66,CA,1615033363
563,Matara,5.9485,80.5353,27.3,72,46,1.68,LK,1615033363
564,Zhigansk,66.7697,123.3711,-33.79,84,46,2.2,RU,1615033363
565,Nha Trang,12.25,109.1833,26.0,83,0,1.03,VN,1615033363
566,Tambura,5.6,27.4667,39.18,11,72,3.93,SS,1615033364
567,Vangaindrano,-23.35,47.6,28.64,73,44,5.2,MG,1615033364
568,Banda Aceh,5.5577,95.3222,27.44,78,81,2.73,ID,1615033239
569,Douentza,14.9951,-2.9517,38.08,8,77,7.59,ML,1615033364
570,Cravo Norte,6.3017,-70.2041,25.94,72,80,4.5,CO,1615033364
